ID,LogConc,LogFC,P.val,adj.p.val
mir-1187,-2.1843735213,2.5840015734,1.70174785845489E-06,1.01288032535235E-05
mir-5585,-2.3194447087,2.331896577,2.1052241754671E-06,0.000012373
mir-340,-0.190937502,8.0445134847,2.11205420173683E-06,0.000012373
mir-29c,0.1683663169,7.6708903231,4.0348628532125E-06,2.34526403342977E-05
mir-5127,0.6278120486,3.9795736681,5.0873601874663E-06,2.93410541044568E-05
mir-744,-0.2396672643,7.455963476,0.000009087,5.20054919739678E-05
mir-5189,0.6679440548,4.2191469765,1.0647461734349E-05,6.04710803843944E-05
mir-181c,-0.4425492822,5.6814163311,2.20665110591091E-05,0.0001243749
mir-6087,0.4382182684,5.1303273422,2.26116773910904E-05,0.0001264894
mir-4659a,0.3264426511,6.3320463802,0.000024005,0.0001332816
mir-33a,-2.3620106284,2.0766674144,2.54856223665096E-05,0.0001404541
mir-5581,0.7167435576,4.0927046225,2.67744526547632E-05,0.000146472
mir-3159,0.9192929441,3.1878449032,3.11839372983864E-05,0.0001693493
mir-769,-0.4806574201,6.3444646162,3.54247760222606E-05,0.0001909857
mir-1273h,0.2451086268,5.6033348845,5.57772454927935E-05,0.0002985487
mir-182,0.0666162686,13.0456803432,6.04101544717696E-05,0.0003210368
mir-3960,-0.6532406115,3.5266854018,7.22016876326661E-05,0.0003809791
mir-199b,-0.3154338736,6.1164129568,0.000081058,0.000424698
mir-18a,-0.0168592117,10.825815045,9.28644221103776E-05,0.000480053
mir-127,-0.2952186756,6.7738776627,9.29134841416603E-05,0.000480053
mir-561,-2.3058239352,1.9430303257,0.000094489,0.0004848264
mir-8086,-0.8447728325,6.1167094266,0.0001003202,0.0005112209
mir-636,0.3026051423,6.4536633346,0.0001046469,0.0005296416
mir-500a,0.1067287066,9.4631927345,0.0001107661,0.0005568242
mir-139,-0.3746343849,5.6437873858,0.000116409,0.0005812637
mir-101c,-1.0418418705,3.8020381044,0.0001362219,0.0006756608
mir-34a,1.0680652237,2.753078638,0.0001516689,0.0007472956
mir-1260a,0.0054648238,11.4892737391,0.0001997069,0.0009765258
mir-4772,0.60765692,3.5618831774,0.0002008178,0.0009765258
mir-6236,0.154081098,7.4158748408,0.0002251172,0.0010875793
mir-580,-1.6022730166,2.3696969335,0.0002314394,0.0011109094
mir-6515,-0.6740478994,3.6144256241,0.0002654034,0.0012657702
mir-4646,-0.2857043308,6.0251016204,0.0002771509,0.0013133775
mir-1468,0.6493601906,3.7847331143,0.0003294404,0.0015512891
mir-202,-1.2927887034,2.7293709393,0.0004293814,0.002009181
mir-6749,0.356757281,5.9211811586,0.0004379761,0.0020365889
mir-3620,0.2220729171,6.2398468489,0.0004462038,0.0020619602
mir-328,0.1428941617,9.5375336216,0.000460509,0.0021149302
mir-381,-2.1202890338,2.2645956243,0.0005287595,0.0024134791
mir-6743,-0.6047740419,3.7829495922,0.0005973388,0.0027098785
mir-4433,0.7006499796,3.9688366007,0.0006738031,0.0030382393
mir-3107,0.2384949502,6.940664341,0.0006942085,0.0031113922
mir-1273c,0.1798719816,7.1725017813,0.0007749984,0.0034526873
mir-32,-0.5530351524,4.1804071367,0.0008018511,0.003551055
mir-3964,-1.2116398267,2.7212322721,0.0008179547,0.0036009368
mir-6737,-0.8942007784,2.6761964709,0.0008496631,0.0037185255
mir-3925,2.1958689589,1.861339999,0.0008581004,0.0037334894
mir-345,0.1050525998,7.8950702123,0.0009633719,0.0041671434
mir-4662a,1.3233254883,2.2524013257,0.001067384,0.0045903681
mir-548an,-0.9150131142,2.9642872791,0.0012381827,0.0052828355
mir-6801,1.7966548279,1.9689336062,0.0012426024,0.0052828355
mir-505,0.1210108715,7.7817076351,0.0013458472,0.0056892633
mir-155,-0.1872242481,6.8699637605,0.0015487766,0.006510112
mir-3175,-1.9306207812,1.8289978722,0.0016187987,0.0067662146
mir-4482,-1.1831392193,3.185953231,0.001756736,0.0073017408
mir-7110,-0.64306045,3.5735240261,0.0021800796,0.0090109956
mir-2278,-0.9582518197,2.6851015568,0.002311685,0.0095021747
mir-4448,0.6250330029,3.7908555303,0.0024855188,0.0101605822
mir-532,-0.01663743,11.4125735458,0.0025625697,0.0104183161
mir-200b,0.4216821458,4.0242784504,0.0025934881,0.0104867129
mir-5001,-0.285007722,5.4320385932,0.0027194619,0.0109366468
mir-4516,0.4875949187,3.9399993265,0.0028082499,0.0112329995
mir-152,-0.3811498543,5.8219686918,0.0030687961,0.0122095417
mir-642a,-0.7117878518,3.7609358183,0.0033037686,0.0130744886
mir-3605,-0.2630797685,6.093603237,0.0035332501,0.013908667
mir-6849,-0.9565854765,2.5348156925,0.0041788963,0.0163636782
mir-1248,-1.2106343667,2.4226141748,0.0042128117,0.0164101148
mir-6884,-1.796854933,2.0134886455,0.0042624024,0.01643123
mir-4669,-1.6031331733,2.0387142052,0.0042624024,0.01643123
mir-1914,-1.0838580906,2.1658329239,0.0043339281,0.0166208376
mir-656,-1.4134966965,2.1727001355,0.0044888185,0.0171265692
mir-7855,-0.3955608042,3.7886135602,0.004519087,0.0171540855
mir-708,1.1872339088,2.2311268142,0.0065668085,0.0248005355
mir-3120,0.6214464817,2.7761940219,0.0066195408,0.0248734262
mir-132,0.2517206722,5.7835397959,0.0069345598,0.0259261935
mir-566,1.0364332277,2.4562449697,0.0076132196,0.0283211769
mir-1843a,-0.1544848105,6.172941155,0.0077774507,0.0287881758
mir-4707,-0.3872779195,4.2573943421,0.0082573599,0.0304132463
mir-6789,0.4512694572,3.9279055145,0.0094244765,0.0345409385
mir-500b,0.2826192817,5.3503363286,0.0096239177,0.0350989939
mir-1275,-0.3986482848,3.5856241501,0.0097057292,0.0352246952
mir-195,0.6289470697,3.5513428888,0.0100171356,0.0361783928
mir-4723,-0.7696246449,3.2153322991,0.0102273614,0.0367592122
mir-31,-0.5571245217,4.3031986196,0.0104011142,0.0372039855
mir-1229,-0.3193047344,5.7696168222,0.010475272,0.0372899635
mir-511,1.3044110685,1.9716068036,0.0112306741,0.0397886739
mir-4525,-0.9093190897,2.5410086246,0.0128893548,0.0454487203
mir-5095,0.8102223951,1.9003435151,0.0147785995,0.051864519
mir-651,-1.0389304857,2.8284686738,0.0150284665,0.0524937986
mir-5188,-0.7431872631,2.783969088,0.0151006691,0.0524995225
mir-3135b,1.205348838,2.0483671651,0.0152331511,0.0525078781
mir-377,0.3499780725,3.4627402382,0.0152442227,0.0525078781
mir-584,-0.0291992371,9.4325488528,0.0153230735,0.0525362521
mir-4799,1.2506863738,1.9715631959,0.0154663508,0.0527842432
mir-5096,0.6601778344,2.8759009105,0.0162777026,0.0552995923
mir-4726,-2.062119242,1.7059333832,0.0163686793,0.0553558973
mir-3665,1.1608313878,2.1194981636,0.0166300716,0.0557332128
mir-1250,0.7415679963,2.1755039992,0.0166300716,0.0557332128
mir-939,0.6318633314,2.8743704596,0.0168937616,0.0563630431
mir-1294,-0.3622114856,5.6299416033,0.0172343704,0.0572427303
mir-4659b,0.2054769339,4.8290622787,0.0173306344,0.0573066312
mir-627,-0.322489933,5.5904136086,0.0180426251,0.0593969605
mir-3908,1.4054018902,1.9351382573,0.0188396821,0.0617476806
mir-330,-0.1110808668,6.7675135014,0.0190211502,0.0620690165
mir-433,-0.560513262,3.6723357804,0.0207073496,0.06727628
mir-6131,-0.7306796527,3.4124487702,0.020883761,0.0675544269
mir-6826,-0.5850554621,2.5533837623,0.0223807182,0.0720833521
mir-147b,-1.0974436781,1.8297385756,0.0235618418,0.0752848595
mir-500,-0.8844528405,2.0476479753,0.0235771132,0.0752848595
mir-6513,-0.1314048247,5.4633597685,0.0244307815,0.0776773565
mir-1301,-0.2104134119,6.5811551655,0.0246414203,0.0780136882
mir-6877,-0.6385619523,2.7704097349,0.0249132668,0.0785401292
mir-4429,-1.7690281759,1.9534477382,0.0254271867,0.0798220544
mir-4685,-0.0179954287,8.8115707277,0.0255808756,0.0799671068
mir-1255a,-0.6461038603,3.6295034887,0.0264980675,0.0824877079
mir-379,0.3751265413,2.9910816608,0.0278129373,0.0862201056
mir-4749,0.5945396079,3.0911855655,0.0306015364,0.094471133
let-7e,-0.439582245,4.3339136514,0.0311566718,0.0952837362
mir-196b,0.2800490251,5.697929763,0.0311874646,0.0952837362
mir-1306,-0.1282007803,7.552010202,0.0312489673,0.0952837362
mir-4717,0.5475395699,2.4667293382,0.0326277508,0.0990818229
mir-4687,0.2572459325,4.6138076612,0.0332710824,0.1006247371
mir-493,-0.6335199184,3.5734983705,0.0339815043,0.1023572436
mir-654,-0.2018283162,5.8910312733,0.0366894897,0.1100684691
mir-1271,0.0702484417,6.1179166269,0.0368796039,0.1101944792
mir-6818,-0.1928381769,4.2826083678,0.0376529928,0.1120553066
mir-506,-1.1142555546,1.9385247549,0.037921849,0.1124057994
mir-26b,0.0680649951,10.5194166606,0.0385548136,0.1138284972
mir-200c,-0.2365415845,5.4010692355,0.0388213186,0.1141622965
mir-151b,-0.1083421501,6.541548146,0.0397492041,0.1164307395
mir-3683,1.2516970598,1.7975220699,0.0403083208,0.1176054537
mir-222,0.0545228418,8.8876324821,0.0419353096,0.1218744936
mir-1284,0.2071617983,5.0734896071,0.0421646997,0.1220643447
mir-579,-0.5574767399,3.6833811734,0.0445555496,0.1284857709
