Gene_ID,adj.P.Val,P.Value,t,logFC,Gene_symbol
ILMN_1756826,0.040895076,0.00013575,7.602694164,0.160079656,
ILMN_1701514,0.041215164,0.000137657,7.585722086,0.075293697,TRAF3IP2
ILMN_2364131,0.041330842,0.00013912,7.572880083,0.079437422,TTPAL
ILMN_1713266,0.041330842,0.000139737,-7.567509828,-0.141504847,FAM46C
ILMN_1802203,0.042205038,0.000143557,-7.534845579,-0.065251303,ARF1
ILMN_1785413,0.042259065,0.000144827,-7.524210624,-0.0792669,ATP2C2
ILMN_1781386,0.042259065,0.000145881,-7.515457349,-0.068642692,WIPI1
ILMN_1725130,0.042259065,0.000147166,-7.504883062,-0.13447253,FAM50A
ILMN_1674817,0.042259065,0.000148274,-7.495852236,-0.093416227,C1orf115
ILMN_1651315,0.042259065,0.000148283,-7.495779494,-0.068767372,HMG20B
ILMN_1701483,0.042259065,0.000148937,-7.490481613,-0.065242262,SYP
ILMN_1658110,0.04230132,0.000149952,7.482308144,0.086079562,FAM210A
ILMN_1757210,0.042960352,0.000153553,7.453831097,0.075796653,CALML4
ILMN_2050023,0.042960352,0.000154338,7.447717101,0.137644115,SVBP
ILMN_1748983,0.042960352,0.000154929,-7.443141467,-0.090948188,RTN4
ILMN_1753745,0.043588504,0.000158625,7.414969688,0.069970462,HDDC2
ILMN_1678535,0.043588504,0.000159,7.412150527,0.170868388,ESR1
ILMN_1793598,0.043588504,0.000159874,7.405611147,0.101021139,APIP
ILMN_1732296,0.044275897,0.000163303,-7.380351032,-0.205611053,ID3
ILMN_1733519,0.044288676,0.000165057,-7.367653991,-0.131253369,HMGB3
ILMN_1795524,0.044288676,0.000165165,7.366880982,0.059809195,
ILMN_1691611,0.044815861,0.000168049,7.346351656,0.093928,
ILMN_1798006,0.045868496,0.000173797,-7.306601528,-0.094877261,ANKRD35
ILMN_1707727,0.045868496,0.000174449,-7.302185759,-0.105248979,ANGPTL4
ILMN_1704342,0.045868496,0.00017677,7.286617772,0.079417602,UBE3C
ILMN_2213136,0.045868496,0.000177894,-7.279167207,-0.058737671,LEF1
ILMN_1679428,0.045868496,0.000178681,7.273974319,0.08492879,CHIC2
ILMN_1797372,0.045868496,0.000180603,7.261409234,0.140185229,C3orf58
ILMN_1706873,0.045868496,0.000184199,7.238305451,0.091683013,RPL34
ILMN_1679912,0.045868496,0.000185156,7.232237927,0.079259598,DPH3
ILMN_1794046,0.045868496,0.000185412,7.230625826,0.083675181,MTX2
ILMN_2415949,0.045868496,0.000185624,7.229286551,0.079947153,MRRF
ILMN_2136455,0.045868496,0.00018702,7.220527548,0.084601208,EOGT
ILMN_1712112,0.045868496,0.000187901,-7.215039853,-0.064820791,RCAN1
ILMN_1732074,0.045868496,0.00018826,7.212812069,0.080790421,
ILMN_1783546,0.045868496,0.000188644,-7.210437554,-0.057794402,NAXD
ILMN_2199439,0.045868496,0.000188945,7.20857252,0.106366553,CA2
ILMN_2205935,0.045868496,0.000189275,-7.20653763,-0.136566075,SFXN1
ILMN_1753101,0.045868496,0.00018982,-7.203186214,-0.36558608,VTCN1
ILMN_1653342,0.045868496,0.000190424,7.199480939,0.118094415,DUS1L
ILMN_1690586,0.045868496,0.000190895,7.196600154,0.088330444,
ILMN_1748894,0.045868496,0.000191442,7.193267105,0.086550349,GTPBP3
ILMN_1764871,0.045868496,0.000191734,7.191496939,0.130381247,PIGP
ILMN_1794875,0.046043,0.000193406,7.181385966,0.092508557,GPAT3
ILMN_1675709,0.047137206,0.000200444,-7.139905031,-0.106521827,ARFGAP1
ILMN_2356578,0.047137206,0.000200691,7.138477662,0.084651329,TH
ILMN_1799725,0.047137206,0.000200952,-7.136974212,-0.130881397,DOCK2
ILMN_1678766,0.047137206,0.000201866,7.131722626,0.073832798,DYNLT1
ILMN_1730907,0.047241385,0.00020328,7.123650153,0.137647239,ZFAND1
ILMN_1771019,0.047421121,0.00020619,7.107238923,0.051726293,MTMR4
ILMN_1730995,0.047421121,0.000206577,-7.105074235,-0.08248163,AFAP1L2
ILMN_1707634,0.047421121,0.000208378,7.095065337,0.074348445,CMC1
ILMN_1653115,0.047421121,0.000209499,-7.088891042,-0.06253479,ECH1
ILMN_1752526,0.047421121,0.000209541,-7.088657377,-0.093707034,RNF144B
ILMN_1779147,0.047421121,0.000209884,-7.086775435,-0.0680129,ENC1
ILMN_1696585,0.047695168,0.000212074,7.074833209,0.080127422,FERMT1
ILMN_1712705,0.047805751,0.000213545,-7.066888939,-0.094851669,RAB40C
ILMN_2219767,0.049058946,0.00022073,-7.028962826,-0.051443643,MYCN
ILMN_2075927,0.049058946,0.000221154,-7.026768141,-0.113277983,STK40
ILMN_1716596,0.049684737,0.000224993,7.007110495,0.072724659,NSMAF
ILMN_1721170,0.049933506,0.000227143,6.996267689,0.139008214,GREB1
ILMN_1702775,0.050899769,0.000234038,-6.962254815,-0.08317193,LRP5
ILMN_1680675,0.050899769,0.000234075,6.962073198,0.080040791,MRRF
ILMN_1682404,0.050899769,0.000234667,6.959207411,0.090989159,SETMAR
ILMN_2119123,0.051044272,0.000236379,6.950961458,0.06137153,GRPR
ILMN_1743583,0.052901815,0.000246065,-6.905545405,-0.068673123,MADD
ILMN_1782863,0.054086375,0.000253605,6.87156286,0.136533483,FAM83B
ILMN_1695941,0.054086375,0.000253827,6.870583531,0.076600541,NECAB1
ILMN_2054392,0.054086375,0.000256104,6.860554093,0.050741073,PPIL1
ILMN_1669747,0.054086375,0.000256671,-6.858070563,-0.082730191,UNC13B
ILMN_1709032,0.054086375,0.000257116,6.856127543,0.078230054,FYCO1
ILMN_1802292,0.054550424,0.00026044,-6.841731359,-0.05428546,WDFY2
ILMN_1730734,0.054559324,0.0002616,-6.836753831,-0.128383977,TMEM205
ILMN_1761820,0.056000695,0.000271835,-6.79390168,-0.143739016,EDARADD
